,date,product_code,quantity
0,2022-01-03,DBR-56,344
1,2022-01-03,DBR-56,-17
2,2022-01-03,A35-AC,82
3,2022-01-03,A35-AC,-5
4,2022-01-03,DTC-23,197
5,2022-01-03,DTC-23,-5
6,2022-01-04,DBR-56,-13
7,2022-01-04,A35-AC,-7
8,2022-01-04,DTC-23,-11
9,2022-01-05,DBR-56,-27
10,2022-01-05,A35-AC,-2
11,2022-01-05,DTC-23,-5
12,2022-01-06,DBR-56,-24
13,2022-01-06,A35-AC,-7
14,2022-01-06,DTC-23,-9
15,2022-01-07,DBR-56,-23
16,2022-01-07,A35-AC,-4
17,2022-01-07,DTC-23,-12
18,2022-01-10,DBR-56,-12
19,2022-01-10,A35-AC,-3
20,2022-01-10,DTC-23,-5
21,2022-01-11,DBR-56,-30
22,2022-01-11,A35-AC,-4
23,2022-01-11,DTC-23,-16
24,2022-01-12,DBR-56,-12
25,2022-01-12,A35-AC,-4
26,2022-01-12,DTC-23,-12
27,2022-01-13,DBR-56,-11
28,2022-01-13,A35-AC,-2
29,2022-01-13,DTC-23,-12
30,2022-01-14,DBR-56,-15
31,2022-01-14,A35-AC,-6
32,2022-01-14,DTC-23,-7
33,2022-01-17,DBR-56,-19
34,2022-01-17,A35-AC,-4
35,2022-01-17,DTC-23,-10
36,2022-01-18,DBR-56,-27
37,2022-01-18,A35-AC,-6
38,2022-01-18,DTC-23,-5
39,2022-01-19,DBR-56,-18
40,2022-01-19,A35-AC,-7
41,2022-01-19,DTC-23,-5
42,2022-01-20,DBR-56,-24
43,2022-01-20,A35-AC,-5
44,2022-01-20,DTC-23,-9
45,2022-01-21,DBR-56,-29
46,2022-01-21,A35-AC,-4
47,2022-01-21,DTC-23,-14
48,2022-01-24,DBR-56,-25
49,2022-01-24,A35-AC,-4
50,2022-01-24,DTC-23,-6
51,2022-01-25,DBR-56,-18
52,2022-01-25,A35-AC,-5
53,2022-01-25,DTC-23,-13
54,2022-01-26,DBR-56,0
55,2022-01-26,A35-AC,-3
56,2022-01-26,DTC-23,-12
