date,company,country,contract_value,sales_manager
2021-11-09,Allard LLC Inc,Canada,374511.0,Jones Leon
2023-01-03,Asselin and Sons Group,Canada,170005.19999999998,Jones Leon
2023-01-19,Audet Group Ltd,Canada,465253.2,Jones Leon
2022-07-14,Audet-Cyr Group,Canada,747392.1,Jones Leon
2021-02-16,Beauchamp Inc Group,Canada,140489.0,Jones Leon
2023-02-17,"Beaudry, Proulx and Boudreau Group",Canada,156922.8,Jones Leon
2023-01-16,Beaulieu-Rivard Inc,Canada,561734.4,Jones Leon
2022-12-21,"Beauregard, Tanguay and Drouin Ltd",Canada,845618.8,Morgan Sarah
2021-02-08,Bernard-Béland Inc,Canada,651471.0,Jones Leon
2021-04-02,Blais Inc PLC,Canada,466183.0,Morgan Sarah
2021-09-20,"Boisvert, Leduc and Champagne Ltd",Canada,100989.0,Jones Leon
2022-08-15,"Boucher, Desbiens and Carrier PLC",Canada,283576.8,Jones Leon
2021-12-31,"Boucher, Landry and Thibodeau and Sons",Canada,306870.0,Jones Leon
2022-04-06,Boucher-Pépin Group,Canada,834228.2000000001,Jones Leon
2022-06-15,Boulanger PLC Ltd,Canada,234052.0,Jones Leon
2022-12-08,Champagne-Charbonneau Ltd,Canada,263497.0,Jones Leon
2022-09-26,Charbonneau Inc and Sons,Canada,517462.4,Jones Leon
2022-04-01,Charbonneau PLC and Sons,Canada,112127.6,Jones Leon
2022-04-26,Charbonneau-Gagnon Inc,Canada,574815.8,Jones Leon
2022-12-02,Charette-Germain Inc,Canada,691984.8,Jones Leon
2021-01-27,Cloutier Ltd and Sons,Canada,189601.0,Jones Leon
2023-03-02,Couture-Arsenault and Sons,Canada,716978.4,Jones Leon
2021-06-04,Côté-Plourde Group,Canada,428658.0,Jones Leon
2021-05-19,Demers-Marcoux Inc,Canada,665249.0,Jones Leon
2021-07-15,"Denis, Dumont and Moreau PLC",Canada,172357.0,Jones Leon
2023-02-15,"Denis, Rivard and Renaud LLC",Canada,780489.6,Jones Leon
2022-07-13,Desrosiers Group and Sons,Canada,625487.2000000001,Morgan Sarah
2021-01-08,Dionne-Fréchette PLC,Canada,356837.0,Jones Leon
2022-04-11,Dumas Group Ltd,Canada,586827.8,Morgan Sarah
2022-10-31,Duval Group Inc,Canada,420407.0,Jones Leon
2022-05-19,Duval PLC LLC,Canada,587802.8,Jones Leon
2021-04-23,"Fortier, Charbonneau and Trudel PLC",Canada,658681.0,Jones Leon
2021-06-28,Fortin PLC PLC,Canada,570609.0,Jones Leon
2022-06-29,"Gagnon, Grégoire and Larouche Ltd",Canada,107640.0,Jones Leon
2022-07-11,Gendron-Boudreau PLC,Canada,426474.10000000003,Jones Leon
2021-06-22,Germain-Fréchette PLC,Canada,262391.0,Jones Leon
2023-02-27,"Giroux, Fréchette and Lapierre Inc",Canada,625291.2,Jones Leon
2022-08-25,Giroux-Larouche Group,Canada,557497.2000000001,Jones Leon
2021-05-14,"Godin, Hébert and Desrosiers and Sons",Canada,481661.0,Jones Leon
2022-07-21,"Gravel, Lafontaine and Brassard Group",Canada,271343.8,Jones Leon
2022-07-05,"Grenier, Desbiens and Bernier Ltd",Canada,615317.3,Jones Leon
2022-12-12,"Grégoire, Cloutier and Blais LLC",Canada,608455.9,Jones Leon
2023-03-23,Harvey LLC LLC,Canada,136268.4,Jones Leon
2022-03-03,Jean-Trépanier LLC,Canada,188299.80000000002,Morgan Sarah
2022-08-10,Labrecque LLC and Sons,Canada,539719.7000000001,Jones Leon
2022-04-13,Labrecque-Thériault Inc,Canada,933998.0,Jones Leon
2022-06-23,Lacasse LLC LLC,Canada,674337.3,Jones Leon
2022-10-27,Laflamme-Grégoire Inc,Canada,196796.6,Jones Leon
2021-11-23,Laliberté and Sons LLC,Canada,491843.0,Jones Leon
2022-10-03,Laliberté-Houle LLC,Canada,261428.7,Jones Leon
2021-12-22,Lamontagne-Bilodeau Inc,Canada,479989.0,Jones Leon
2021-10-21,Lamontagne-Ferland Ltd,Canada,358283.0,Jones Leon
2021-11-08,Langlois-Blouin Group,Canada,196768.0,Jones Leon
2021-03-24,Lapierre PLC Group,Canada,307604.0,Jones Leon
2022-02-01,Larivière-Therrien PLC,Canada,176546.5,Jones Leon
2021-11-18,Larivière-Thériault LLC,Canada,699737.0,Jones Leon
2022-01-10,"Larocque, Michaud and Auger Group",Canada,663863.2000000001,Morgan Sarah
2023-02-28,Lauzon-Paré Group,Canada,199777.19999999998,Morgan Sarah
2022-04-14,Lavoie-Drouin Inc,Canada,765077.3,Jones Leon
2022-06-10,Lavoie-Lamontagne PLC,Canada,607024.6,Jones Leon
2023-03-17,Lavoie-Mercier Inc,Canada,600091.2,Jones Leon
2021-10-12,Legault-Germain Inc,Canada,85584.0,Jones Leon
2022-12-07,Lepage-Bédard and Sons,Canada,923380.9,Jones Leon
2021-11-10,Lévesque and Sons LLC,Canada,691212.0,Jones Leon
2021-11-04,Lévesque-Pouliot Ltd,Canada,631974.0,Jones Leon
2022-05-31,Lévesque-Renaud LLC,Canada,398739.9,Jones Leon
2022-10-25,"Maltais, Tanguay and Lemieux Ltd",Canada,312128.7,Jones Leon
2021-08-30,Marchand Inc LLC,Canada,212166.0,Morgan Sarah
2021-09-01,Marchand Ltd Group,Canada,202042.0,Jones Leon
2021-03-29,Marcotte Group and Sons,Canada,599998.0,Jones Leon
2022-08-12,Marcoux Ltd Ltd,Canada,857664.6,Morgan Sarah
2022-11-17,Marcoux-Landry PLC,Canada,124679.1,Jones Leon
2022-02-07,"Martel, Chouinard and Lafontaine Ltd",Canada,895208.6,Jones Leon
2023-03-27,Martineau PLC LLC,Canada,730348.7999999999,Jones Leon
2021-12-02,Mercier Inc and Sons,Canada,603580.0,Morgan Sarah
2021-04-27,"Mercier, Lamoureux and Bélanger LLC",Canada,132163.0,Jones Leon
2023-03-10,Moreau-Dubois PLC,Canada,725290.7999999999,Jones Leon
2023-03-09,Ménard PLC Inc,Canada,812326.7999999999,Jones Leon
2021-09-27,"Noël, Demers and Paré Inc",Canada,143042.0,Jones Leon
2022-08-05,"Ouellet, Fortier and Lussier Group",Canada,311750.4,Morgan Sarah
