Rating,Date,Description,Hotel_name,City,Country
10,18-09-2023,Très bon hôtel comme attendu. On s’occupe de vous sans hésitation. Je recommande,barriere-le-majestic,Cannes,France
10,05-09-2023,"Magnifique hôtel 
Très belles prestations 
Petit déjeuner extraordinaire",barriere-le-majestic,Cannes,France
8,31-10-2022,"personnel à l'écoute et agréable, mais les chambres sont trop petite et la piscine n'est pas à la hauteur du palace",barriere-le-majestic,Cannes,France
10,03-09-2022,"Accueil chaleureux, bon service et bonne nourriture.",barriere-le-majestic,Cannes,France
10,07-12-2021,"Excellent Hotel bien situé, excellent service !
Dommage que le Frigo mini bar soit bruyant...",barriere-le-majestic,Cannes,France
10,21-11-2021,"Un sejour plus que parfait dans un hôtel d'exception.
Un accueil et des prestations parfaites avec une magnifique suite vue mer.
Un service voiturier au top.
Un moment inoubliable et une expérience à vivre une fois dans sa vie.
Nous reviendrons sans aucune hésitation.",barriere-le-majestic,Cannes,France
10,17-10-2021,"Parfait, une fois sur place, nous avons été surclassé",barriere-le-majestic,Cannes,France
10,03-09-2021,"Un automne incroyable on appelle ça un palace un service sur mesure s’etais vraiment incroyable un grand plaisir D’avoir séjourné au Majestic .
Anaïs nous a donné un service plus que personnalisé j’ai eu un gâteau pour l’anniversaire de ma fiancée un cadeau pour mon fils de neuf mois c’est sure que je retourne j’ai vraiment adoré un des meilleurs hôtels à cannes vraiment au-dessus du JW Mariotte",barriere-le-majestic,Cannes,France
10,21-06-2021,"Beautiful hotel, kind and lovely staff , amazing breakfast. Thank you",barriere-le-majestic,Cannes,France
10,04-06-2021,Personnel très accueillant,barriere-le-majestic,Cannes,France
10,30-10-2020,"Séjour tres agréable le temps d'un week end,  en couple dans ce bel hôtel en front de mer du groupe Barriere ; Nous avons profité d'une chambre avec balcon  vue mer. Nous avons choisi cet hôtel car le restaurant  le Fouquets restait ouvert pour diner durant le couvre -feu . service impeccable, gentillesse du personnel, nous recommandons cet hôtel ..accessible en prix en ce moment.",barriere-le-majestic,Cannes,France
6,22-10-2020,"Bonjour,
Lit trop souple pour moi
Petit déjeuner pas à la hauteur d'un 5 Etoiles, viennoiserie surgelé pain de mie industriel??",barriere-le-majestic,Cannes,France
10,19-10-2020,"La vue, la décoration des chambres et pour le négatif je n'ai rien à signaler.",barriere-le-majestic,Cannes,France
10,16-10-2020,Parfait comme toujours! Surtout ne pas rater le petit déjeuner.,barriere-le-majestic,Cannes,France
10,30-09-2020,"L'hotel est majestueux, extrêmement bien situé mais surtout je trouve que le personnel est tés agréable, souriant, à l'écoute et professionnel (ce qui n'est pas le cas dans d'autres hotel 5*)",barriere-le-majestic,Cannes,France
8,03-09-2020,L’hôtel dans l’ensemble est bien situé. l’équipement est assez complet et la piscine est très agréable. Le personnel est très sympathique et serviable. dommage que le parking soit excessivement cher et les petits déjeuners pas compris dans le prix de la chambre mais dans l’ensemble nous avons passé un agréable séjour,barriere-le-majestic,Cannes,France
6,26-08-2020,"Très joli hotel, bien situé mais service de conciergerie déplorable! 
J’avais réservé une surprise à mon mari avec pétales de rose, champagne chocolats fruits frais en suppléments. 
J’avais demandé de le mettre en chambre avant notre arrivée et quand
Nous sommes rentrés il n’y avait rien! Obligé d’appeler la réception pour nous faire monter les choses! Alors les pétales c’était cuit car ça demande une préparation, et le reste servit vite fait sur un plateau, pas de présentation rien! Franchement déçue du service!",barriere-le-majestic,Cannes,France
10,18-08-2020,"Excellent établissement 
Bonne restauration 
Petit bémol pour l’organisation de la plage...",barriere-le-majestic,Cannes,France
8,22-07-2020,Service impeccable. Personnel très agréable et au soin de vos besoin. Terrasse pas très bien entretenue mais confortable. Niveau restauration pour le prix des liguines au homard je m’attendais à mieux! Mais le reste était très bien.,barriere-le-majestic,Cannes,France
8,18-07-2020,"Emplacement idéal, très bel hôtel, un peu vieillot. Méritait un petit rafraîchissement. Piscine toute petite et surtout seulement 10 transats pour tout l'hôtel ! Service lent.",barriere-le-majestic,Cannes,France
6,09-07-2020,"Hôtel correct, quelques petits couacs comme la télévision qui ne fonctionne pas malgré 2 interventions des techniciens qui repartent en m’expliquant que certaines cartes n’ont pas été changées, que cela sera réglé plus tard.
Peu de place à la piscine, attente devant le bar , personne ne vient nous prendre en charge malgré une attente de 10 minutes.",barriere-le-majestic,Cannes,France
8,05-07-2020,"Tout était parfait. Un peu d’attente au petit déjeuner et quelques loupés lors des commandes du petit déjeuner, liés non pas au manque de volonté mais au manque d’effectif en ces jours de reprise.",barriere-le-majestic,Cannes,France
