Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1461,1-STORY 1946+,RH,80.0,11622,Pave,,0,Lvl,3,Inside,0,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,3,468.0,3,144.0,270.0,882.0,GasA,3,1,5,896,0,0,896,0.0,0.0,1,0,2,1,3,5,0,0,0,Attchd,1961.0,1,1.0,730.0,3,3,2,140,0,0,0,120,0,0,3,,0,June,2010,WD,Normal
1462,1-STORY 1946+,RL,81.0,14267,Pave,,1,Lvl,3,Corner,0,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,0,5,923.0,1,0.0,406.0,1329.0,GasA,3,1,5,1329,0,0,1329,0.0,0.0,1,1,3,1,4,6,0,0,0,Attchd,1958.0,1,1.0,312.0,3,3,2,393,36,0,0,0,0,0,0,Gar2,12500,June,2010,WD,Normal
1463,2-STORY 1946+,RL,74.0,13830,Pave,,1,Lvl,3,Inside,0,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,6,791.0,1,0.0,137.0,928.0,GasA,4,1,5,928,701,0,1629,0.0,0.0,2,1,3,1,3,6,0,1,3,Attchd,1997.0,3,2.0,482.0,3,3,2,212,34,0,0,0,0,0,3,,0,Mar,2010,WD,Normal
1464,2-STORY 1946+,RL,78.0,9978,Pave,,1,Lvl,3,Inside,0,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,0,6,602.0,1,0.0,324.0,926.0,GasA,5,1,5,926,678,0,1604,0.0,0.0,2,1,3,1,4,7,0,1,4,Attchd,1998.0,3,2.0,470.0,3,3,2,360,36,0,0,0,0,0,0,,0,June,2010,WD,Normal
1465,1-STORY PUD 1946+,RL,43.0,5005,Pave,,1,HLS,3,Inside,0,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,0,5,263.0,1,0.0,1017.0,1280.0,GasA,5,1,5,1280,0,0,1280,0.0,0.0,2,0,2,1,4,5,0,0,0,Attchd,1992.0,2,2.0,506.0,3,3,2,0,82,0,0,144,0,0,0,,0,Jan,2010,WD,Normal
1466,2-STORY 1946+,RL,75.0,10000,Pave,,1,Lvl,3,Corner,0,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,0,1,0.0,1,0.0,763.0,763.0,GasA,4,1,5,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,0,1,3,Attchd,1993.0,3,2.0,440.0,3,3,2,157,84,0,0,0,0,0,0,,0,Apr,2010,WD,Normal
1467,1-STORY 1946+,RL,,7980,Pave,,1,Lvl,3,Inside,0,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,0,5,935.0,1,0.0,233.0,1168.0,GasA,5,1,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,0,0,0,Attchd,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,0,4,Shed,500,Mar,2010,WD,Normal
1468,2-STORY 1946+,RL,63.0,8402,Pave,,1,Lvl,3,Inside,0,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,1,0.0,1,0.0,789.0,789.0,GasA,4,1,5,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,0,1,4,Attchd,1998.0,3,2.0,393.0,3,3,2,0,75,0,0,0,0,0,0,,0,May,2010,WD,Normal
1469,1-STORY 1946+,RL,85.0,10176,Pave,,0,Lvl,3,Inside,0,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,3,6,637.0,1,0.0,663.0,1300.0,GasA,4,1,5,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,0,1,1,Attchd,1990.0,1,2.0,506.0,3,3,2,192,0,0,0,0,0,0,0,,0,Feb,2010,WD,Normal
1470,1-STORY 1946+,RL,70.0,8400,Pave,,0,Lvl,3,Corner,0,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,0,5,804.0,3,78.0,0.0,882.0,GasA,3,1,5,882,0,0,882,1.0,0.0,1,0,2,1,3,4,0,0,0,Attchd,1970.0,3,2.0,525.0,3,3,2,240,0,0,0,0,0,0,3,,0,Apr,2010,WD,Normal
1471,1-STORY PUD 1946+,RH,26.0,5858,Pave,,1,Lvl,3,FR2,0,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,0,6,1051.0,4,0.0,354.0,1405.0,GasA,5,1,5,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,0,1,2,Attchd,1999.0,3,2.0,511.0,3,3,2,203,68,0,0,0,0,0,0,,0,June,2010,WD,Normal
1472,2-STORY PUD 1946+,RM,21.0,1680,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3,3,0,3,156.0,1,0.0,327.0,483.0,GasA,3,1,5,483,504,0,987,0.0,0.0,1,1,2,1,3,5,0,0,0,Detchd,1971.0,1,1.0,264.0,3,3,2,275,0,0,0,0,0,0,0,,0,Feb,2010,COD,Normal
1473,2-STORY PUD 1946+,RM,21.0,1680,Pave,,0,Lvl,3,Inside,0,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,0,3,300.0,1,0.0,225.0,525.0,GasA,3,1,5,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,0,0,0,Detchd,1997.0,1,1.0,320.0,3,3,2,0,0,0,0,0,0,0,0,,0,Mar,2010,WD,Normal
1474,2-STORY PUD 1946+,RL,24.0,2280,Pave,,0,Lvl,3,FR2,0,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,BrkComm,None,0.0,3,3,CBlock,3,3,0,5,514.0,1,0.0,341.0,855.0,GasA,3,1,5,855,601,0,1456,0.0,0.0,2,1,3,1,4,6,0,1,3,Attchd,1975.0,1,2.0,440.0,3,3,2,173,0,0,0,0,0,0,0,,0,June,2010,WD,Normal
1475,1-STORY PUD 1946+,RL,24.0,2280,Pave,,0,Lvl,3,FR2,0,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,BrkComm,None,0.0,3,3,CBlock,4,3,0,1,0.0,1,0.0,836.0,836.0,GasA,5,1,5,836,0,0,836,0.0,0.0,1,0,2,1,3,4,0,0,0,Attchd,1975.0,1,1.0,308.0,3,3,2,0,30,0,0,0,0,0,0,,0,June,2010,WD,Normal
1476,2-STORY 1946+,RL,102.0,12858,Pave,,1,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,5,3,PConc,5,3,0,1,0.0,1,0.0,1590.0,1590.0,GasA,5,1,5,1627,707,0,2334,0.0,0.0,2,1,3,1,5,10,0,1,4,Attchd,2009.0,3,3.0,751.0,3,3,2,144,133,0,0,0,0,0,0,,0,Jan,2010,New,Partial
1477,1-STORY 1946+,RL,94.0,12883,Pave,,1,Lvl,3,Corner,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1544.0,1544.0,GasA,5,1,5,1544,0,0,1544,0.0,0.0,2,0,3,1,4,7,0,0,0,Attchd,2009.0,2,3.0,868.0,3,3,2,0,35,0,0,0,0,0,0,,0,June,2010,New,Partial
1478,1-STORY 1946+,RL,90.0,11520,Pave,,0,Lvl,3,Inside,0,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,4,3,PConc,5,3,0,6,110.0,1,0.0,1588.0,1698.0,GasA,5,1,5,1698,0,0,1698,0.0,0.0,2,0,3,1,5,7,0,1,4,Attchd,2005.0,3,3.0,730.0,3,3,2,192,74,0,0,0,0,0,0,,0,June,2010,WD,Normal
1479,1-STORY 1946+,RL,79.0,14122,Pave,,1,Lvl,3,Inside,0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,4,3,PConc,5,3,0,6,28.0,1,0.0,1794.0,1822.0,GasA,5,1,5,1822,0,0,1822,0.0,0.0,2,0,3,1,5,8,0,1,4,Attchd,2005.0,2,3.0,678.0,3,3,2,0,119,0,0,0,0,0,0,,0,Feb,2010,WD,Normal
1480,1-STORY 1946+,RL,110.0,14300,Pave,,0,HLS,3,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,5,3,PConc,5,3,3,6,1373.0,1,0.0,1473.0,2846.0,GasA,5,1,5,2696,0,0,2696,1.0,0.0,2,1,3,1,5,10,0,2,4,Attchd,2003.0,3,3.0,958.0,3,3,2,220,150,0,0,0,0,0,0,,0,June,2010,WD,Normal
