,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
341,342,1-STORY 1946+,RH,60.0,8400,Pave,,0,Lvl,3,Inside,0,SawyerW,Feedr,Norm,1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,None,0.0,2,2,CBlock,3,2,0,1,0,1,0,721,721,GasA,4,1,5,841,0,0,841,0,0,1,0,2,1,3,4,0,0,0,CarPort,1950.0,1,1,294,3,3,0,250,0,24,0,0,0,0,0,,0,Sept,2009,WD,Normal,82000
383,384,1-1/2 STORY UNF,RH,60.0,9000,Pave,,0,Lvl,3,Corner,0,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2,2,0,1,0,1,0,784,784,GasA,3,0,4,784,0,0,784,0,0,1,0,2,1,3,5,0,0,0,Detchd,1950.0,1,2,360,2,2,0,0,0,91,0,0,0,0,0,,0,Oct,2009,WD,Normal,76000
542,544,1-STORY PUD 1946+,RH,34.0,4058,Pave,,0,Lvl,3,Inside,0,NAmes,Norm,Norm,TwnhsE,SFoyer,7,5,1998,1998,Gable,CompShg,MetalSd,MetalSd,BrkFace,182.0,3,3,PConc,4,3,2,6,584,3,139,0,723,GasA,5,1,5,767,0,0,767,1,0,1,0,1,1,3,4,0,0,0,Attchd,1998.0,3,1,367,3,3,2,120,40,0,0,0,0,0,0,,0,June,2007,WD,Normal,133000
634,636,2 FAMILY CONVERSION,RH,60.0,10896,Pave,Pave,0,Bnk,3,Inside,0,SWISU,Feedr,Norm,2fmCon,2.5Fin,6,7,1914,1995,Hip,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,2,0,2,256,1,0,1184,1440,GasA,5,1,4,1440,1440,515,3395,0,0,2,0,8,2,2,14,0,0,0,,1914.0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,,0,Mar,2007,WD,Abnorml,200000
670,672,2-STORY 1945-,RH,54.0,6629,Pave,,0,Lvl,3,Inside,0,Edwards,Artery,Norm,1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,4,BrkTil,3,3,0,4,551,1,0,121,672,GasA,3,0,5,697,672,0,1369,1,0,2,0,3,1,3,6,0,0,0,Detchd,1930.0,1,1,300,3,3,2,147,0,0,0,0,0,0,0,,0,July,2009,WD,Normal,103600
680,682,1-1/2 STORY FIN,RH,55.0,4500,Pave,Pave,2,Bnk,3,Inside,0,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1932,2000,Gable,CompShg,VinylSd,Stucco,None,0.0,3,3,BrkTil,3,3,0,3,182,1,0,611,793,GasA,5,1,5,848,672,0,1520,0,0,1,0,3,1,3,6,0,0,0,Detchd,1968.0,1,1,281,3,3,2,0,0,56,0,0,0,0,0,,0,July,2009,WD,Abnorml,159434
776,779,DUPLEX,RH,60.0,8400,Pave,,0,Lvl,3,Inside,0,SawyerW,Feedr,Norm,Duplex,1Story,5,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,320.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,1,5,2020,0,0,2020,0,0,2,0,4,2,3,10,0,2,3,Detchd,1977.0,1,2,630,3,3,2,0,0,0,0,0,0,0,0,,0,Oct,2007,WD,Normal,144000
838,841,2-STORY 1945-,RH,,12155,Pave,,1,Lvl,3,Inside,0,SWISU,Norm,Norm,1Fam,2Story,6,8,1925,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,4,156,1,0,516,672,GasA,3,0,5,810,672,0,1482,0,0,2,0,4,1,2,7,0,0,0,Detchd,1934.0,1,1,400,3,3,1,0,0,254,0,0,0,0,0,,0,Mar,2008,WD,Normal,140000
911,914,DUPLEX,RH,82.0,6270,Pave,,0,HLS,3,Inside,0,Crawfor,Norm,Norm,Duplex,2Story,5,6,1949,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,4,284,1,0,717,1001,GasA,3,0,4,1001,1001,0,2002,0,0,2,0,4,2,3,8,0,0,0,2Types,1949.0,1,3,871,3,3,2,0,0,0,0,0,0,0,0,,0,Aug,2007,WD,Normal,145000
949,952,1-STORY 1946+,RH,60.0,7800,Pave,,0,Lvl,3,Corner,0,SawyerW,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,4,641,1,0,187,828,GasA,4,1,5,965,0,0,965,1,0,1,0,3,1,3,6,0,0,0,Detchd,1979.0,1,1,300,3,3,2,421,0,0,0,0,0,0,3,,0,July,2006,WD,Abnorml,119900
