,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
8,9,1-1/2 STORY FIN,RM,51.0,6120,Pave,,0,Lvl,3,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,WdShing,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,952,952,GasA,4,1,3,1022,752,0,1774,0,0,2,0,2,2,3,8,1,2,3,Detchd,1931.0,1,2,468,2,3,2,90,0,205,0,0,0,0,0,,0,Apr,2008,WD,Abnorml,129900
15,16,1-1/2 STORY UNF,RM,51.0,6120,Pave,,0,Lvl,3,Corner,0,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,832,832,GasA,5,1,4,854,0,0,854,0,0,1,0,2,1,3,5,0,0,0,Detchd,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,0,4,,0,July,2007,WD,Normal,132000
21,22,1-1/2 STORY UNF,RM,57.0,7449,Pave,Grvl,0,Bnk,3,Inside,0,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,637,637,GasA,5,1,3,1108,0,0,1108,0,0,1,0,3,1,4,6,0,1,4,Attchd,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,0,4,,0,June,2007,WD,Normal,139400
23,24,1-STORY PUD 1946+,RM,44.0,4224,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,0,6,840,1,0,200,1040,GasA,3,1,5,1060,0,0,1060,1,0,1,0,3,1,3,6,0,1,3,Attchd,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,0,0,,0,June,2007,WD,Normal,129900
29,30,1-STORY 1945-,RM,60.0,6324,Pave,,1,Lvl,3,Inside,0,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,520,520,GasA,2,0,5,520,0,0,520,0,0,1,0,1,1,2,4,0,0,0,Detchd,1920.0,1,1,240,2,3,2,49,0,87,0,0,0,0,0,,0,May,2008,WD,Normal,68500
48,49,2 FAMILY CONVERSION,RM,33.0,4456,Pave,,0,Lvl,3,Inside,0,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,736,736,GasA,4,1,5,736,716,0,1452,0,0,2,0,2,3,3,8,0,0,0,,1920.0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,,0,June,2009,New,Partial,113000
51,52,1-1/2 STORY FIN,RM,52.0,6240,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,816,816,GasA,3,1,5,816,0,360,1176,0,0,1,0,3,1,3,6,0,1,4,Detchd,1985.0,1,2,528,3,3,2,112,0,0,0,0,0,0,3,Shed,400,Sept,2006,WD,Normal,114500
52,53,DUPLEX,RM,110.0,8472,Grvl,,2,Bnk,3,Corner,1,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,CBlock,4,3,3,2,104,6,712,0,816,GasA,3,0,5,816,0,0,816,1,0,1,0,2,1,3,5,0,0,0,CarPort,1963.0,1,2,516,3,3,2,106,0,0,0,0,0,0,0,,0,May,2010,WD,Normal,110000
61,62,2-1/2 STORY,RM,60.0,7200,Pave,,0,Lvl,3,Inside,0,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,2,0,1,0,1,0,530,530,GasA,3,0,5,581,530,0,1111,0,0,1,0,3,1,2,6,0,0,0,Detchd,1935.0,1,1,288,3,3,0,0,0,144,0,0,0,0,0,,0,Mar,2007,WD,Normal,101000
63,64,2-STORY 1945-,RM,50.0,10300,Pave,,1,Bnk,3,Inside,0,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,576,576,GasA,4,1,5,902,808,0,1710,0,0,2,0,3,1,3,9,0,0,0,Detchd,1990.0,1,2,480,3,3,2,12,11,64,0,0,0,0,4,,0,Apr,2010,WD,Normal,140000
68,69,1-STORY 1945-,RM,47.0,4608,Pave,,0,Lvl,3,Corner,0,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,0,1,0,1,0,747,747,GasA,3,1,5,747,0,0,747,0,0,1,0,2,1,3,4,0,0,0,Attchd,1945.0,1,1,220,3,3,2,0,0,0,0,0,0,0,0,,0,June,2010,WD,Normal,80000
74,75,1-1/2 STORY FIN,RM,60.0,5790,Pave,,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,2,3,0,1,0,1,0,840,840,GasA,4,0,5,840,765,0,1605,0,0,2,0,3,2,3,8,0,0,0,Detchd,1915.0,1,1,379,3,3,2,0,0,202,0,0,0,0,0,,0,May,2010,WD,Normal,107400
75,76,MULTILEVEL PUD,RM,21.0,1596,Pave,,0,Lvl,3,Inside,0,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,3,3,6,462,1,0,0,462,GasA,3,1,5,526,462,0,988,1,0,1,0,2,1,3,5,0,0,0,BuiltIn,1973.0,1,1,297,3,3,2,120,101,0,0,0,0,0,2,,0,Nov,2009,WD,Normal,91000
77,78,1-1/2 STORY FIN,RM,50.0,8635,Pave,,0,Lvl,3,Inside,0,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,4,336,6,41,295,672,GasA,3,1,5,1072,213,0,1285,1,0,1,0,2,1,3,6,1,0,0,Detchd,1948.0,1,1,240,3,3,2,0,0,0,0,0,0,0,3,,0,Jan,2008,WD,Normal,127000
79,80,1-1/2 STORY FIN,RM,60.0,10440,Pave,Grvl,0,Lvl,3,Corner,0,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,440,440,GasA,4,1,5,682,548,0,1230,0,0,1,1,2,1,3,5,0,0,0,Detchd,1966.0,1,2,440,3,3,2,74,0,128,0,0,0,0,3,,0,May,2009,WD,Normal,110000
81,82,1-STORY PUD 1946+,RM,32.0,4500,Pave,,0,Lvl,3,FR2,0,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,443.0,3,4,PConc,5,4,0,6,1201,1,0,36,1237,GasA,5,1,5,1337,0,0,1337,1,0,2,0,2,1,3,5,0,0,0,Attchd,1998.0,3,2,405,3,3,2,0,199,0,0,0,0,0,0,,0,Mar,2006,WD,Normal,153500
