carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
13207,hyundi, Santa Fe,2019,Semi-Auto,4223,Diesel,145.0,39.8,2.2
17314,vauxhall, GTC,2015,Manual,47870,Diesel,125.0,60.1,2.0
12342,audi, RS4,2019,Automatic,5151,Petrol,145.0,29.1,2.9
13426,vw, Scirocco,2016,Automatic,20423,Diesel,30.0,57.6,2.0
16004,skoda, Scala,2020,Semi-Auto,3569,Petrol,145.0,47.1,1.0
18964,merc, V Class,2019,Automatic,4170,Diesel,145.0,44.1,2.1
17053,toyota, Prius,2020,Automatic,3,Hybrid,135.0,64.2,1.8
19021,bmw, M4,2019,Semi-Auto,101,Petrol,145.0,34.0,3.0
17429,toyota, Camry,2019,Automatic,6340,Hybrid,135.0,52.3,2.5
16726,ford, KA,2012,Manual,85843,Petrol,30.0,57.7,1.2
17081,vauxhall, Vivaro,2016,Manual,40230,Diesel,160.0,50.4,1.6
18995,merc, CLS Class,2016,Automatic,47156,Diesel,125.0,57.7,2.1
13055,vw, Caravelle,2019,Automatic,5000,Diesel,145.0,33.6,2.0
12510,vw, Arteon,2018,Semi-Auto,20656,Petrol,145.0,47.1,2.0
13430,vw, Shuttle,2018,Manual,31824,Diesel,145.0,47.1,2.0
19049,hyundi, I40,2019,Manual,20,Diesel,145.0,52.3,1.6
17822,hyundi, IX20,2015,Automatic,34878,Petrol,200.0,43.6,1.6
16655,hyundi, Santa Fe,2019,Automatic,9970,Diesel,145.0,39.2,2.2
18480,bmw, 6 Series,2017,Semi-Auto,18895,Diesel,145.0,51.4,3.0
16270,merc, GL Class,2016,Automatic,11653,Diesel,20.0,67.3,2.1
14435,merc, S Class,2017,Automatic,12653,Diesel,145.0,52.3,3.0
13161,ford, KA,2015,Manual,17041,Petrol,30.0,57.7,1.2
12817,audi, S3,2015,Manual,48800,Petrol,205.0,39.8,2.0
12857,skoda, Yeti,2016,Semi-Auto,13156,Petrol,125.0,51.4,1.2
