leaf-shread,stem,lodging,stem-cankers,fruiting-bodies,external-decay,fruit-pods,fruit-spots,seed,seed-discolor,seed-size,shriveling,class
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,present,absent,norm,colored,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,abnorm,yes,above-sec-nde,present,absent,norm,absent,norm,absent,norm,absent,brown-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,brown-spot
absent,abnorm,yes,absent,present,firm-and-dry,norm,absent,norm,absent,norm,absent,brown-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,abnorm,present,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
absent,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
present,norm,yes,absent,absent,absent,norm,absent,norm,absent,norm,absent,alternarialeaf-spot
