text,y_test,y_pred
"margaux with an x is about a young lady who seems to have it all . beauty , popularity and can do about anything without getting into trouble at home . yet she is not happy she holds a dark secret that happened to her when she was young.she is tired of every boy drooling over her and wanting to date her and most having no content to them . she has a gambler as a father and a mother who just watches television all day . her life takes a different turn when she meets danny . he is the total opposite of all the guys she has dated . he is a year behind her in high school he is thin and is not shapely , yet they both start a bond with each other . the book was interesting but after awhile i got tired and could not keep up with the constant bantering and sarcasm of the main characters",neg,pos
has any one tried the compatible battery from power101 ? i ca n't believe the price . i am struggling btwn buying the sony brand battery and the compatible ones,pos,neg
"i do n't know , but. . i could n't get myself to swallow it . it made me , literally , vomit . i wish i just ordered power bar 's vanilla-yoghurt flavored one , which tastes fantastic and i love so very much . anyway , probably it 's just me but , it really really makes me sick. . i thought i would taste something new but oh well. .",neg,pos
"this was required reading for my british literature class . it 's the only novel in the class that i struggled with and only struggled from boredom . it is entirely possible that i just do not understand the genius that is forster , but i did not enjoy this novel . a lover of forster or modernist writing might enjoy it more . it must be a classic for a reason .",neg,pos
"i have now seen several gerry anderson projects , many hits and some misses , this one is close to dead last for me ( wait , it is dead last ) . a priest driving a model t is the hero in this one . he also has a shrinking ray ( shrinks to like 1 / 3 normal ) that he uses on his assistant who is a groundskeeper / secret agent . sound interesting ? well , i got the set cheap so why not buy it ? if your an anderson fan as i am , it was worth the price , just do n't expect to show it to your friends as it 's really tame and slow plodding with model t car chases and not a whole lot of action . here is my ranking of the shows i like from gerry anderson so take that into account of your own tastes . #1 ufo ( a live adult sci-fi show with some great character development ) , #2 joe 90 ( the concept is great and the non continuous storylines work good here ) , #3 captain scarlet ( i love the concept and a lot of the shows fit in with the current war on terror to me ) , #4 thunderbirds ( had a corgi toy as a kid , it was the best show for kids on tv at the time ) , #5 stingray ( for the time , it was a great action kids show ) , #6 fireball xl5 ( like a stingray except in space and black and white ) , #7 the protectors ( eh , it 's ok ) , #8 space 1999 ( this is where my recommended shows stop , this show was so highly anticipated and quickly got really stupid even i could n't stay with it in the 70 's ) , #9 terrahawks ( just started watching it now it may move up above space 1999 and the protectors ) , #10 secret service . i have n't watched his other stuff and i know there is stuff out there like supercar but that would probably rank above secret service for me .",neg,pos
"i had never used an auto cuff before , so i had my doubts , but after using this over a period of weeks it seems to be right on the money every time . i would buy it agai",pos,neg
have had it for a few weeks and glad i brought it great procuc,neg,pos
my husband tried this after i bought it and he loves it . it is a great remedy for a hangover or even just a bad morning . it is very hard to find in most drugstores . now i just buy it on the internet . i 've even recommended it to friends who now swear buy it,pos,neg
"this woman may have a great body , but she cannot teach dancing for anything . in the 35 minute ' cardio dance ' portion , dance steps are taught frustratingly fast ( and this is from somebody that enjoys dancing ! ) . it took so long to figure out the steps- -which are not your ' typical ' exercise or step class steps- -that i shut the dvd off and jumped on the treadmill . the two 15 minute hip and thigh workouts are a little better , but you really need to do them both back-to-back to feel any benefits . i would say this is a good video for anybody thats got lots of patience to learn the moves and an alternate workout for the first few times you run the dvd , because you 'll get no benefit from the workout while trying to figure out what she 's doing . save your money !",neg,pos
"the game disk does not run on my laptop . but it will play it on my desktop computer . very annoying , but at least i can play ( other reviewers have not been so lucky ) . the game has some good questions and i enjoy testing my friends knowledge . the game itself is rather simple and not totally fun . the "" game board "" is the outside of the friends ' apartment building . when you get a question right a window lights up . when you get one wrong a window dims . if you do n't answer the question nothing happens . you win when all the windows on that floor are lit up . i would prefer that they make you answer all questions - none of this passing on a question - it would up the ante and perhaps add some excitement . if you play a multi-player game you cannot select which letter is your buzzer and the letters assigned by the game designers are adjacent keys on the keyboard ! it 's silly for the two players to be huddled together , hovering over the same part of the keyboard when the designers could have selected other letter keys set further apart . there are some video clips and still images accompanying the questions , but it 's mostly a trivia game without visual aids or embellishments . think trivial pursuit with a computer screen as the cards . this game was a gift . if i had to do it over again i 'd probably spend my money instead on scene it ! friends edition . as of right now , scene it ! friends edition is on sale at circuit city for the same price as this game is on amazon . ( and though i have n't played it , the reviews of that game are much better than this one ) .",neg,pos
