,Country,National Government Trust,EU Trust
0,BE,40,55
1,BG,19,49
2,CZ,30,43
3,DK,52,65
4,D-W,54,53
5,DE,49,49
6,D-E,30,32
7,EE,39,48
8,IE,46,58
9,EL,22,37
10,ES,23,50
11,FR,23,34
12,HR,20,42
13,IT,33,46
14,CY,33,42
15,LV,30,56
16,LT,36,69
17,LU,70,60
18,HU,48,56
19,MT,63,71
20,NL,38,52
21,AT,39,44
22,PL,26,64
23,PT,45,68
24,RO,27,54
25,SI,37,44
26,SK,18,44
27,FI,68,60
28,SE,53,61
29,TR,18,27
30,MK,43,28
31,ME,20,39
32,RS,37,49
33,AL,48,29
34,MD,38,68
35,UK,79,45
36,CH,57,59
37,NO,16,42
38,BA,44,63
39,XK,57,65
40,CY(TCC),27,43
