date,product_code,quantity
2022-01-03,DBR-56,344
2022-01-03,DBR-56,-17
2022-01-03,A35-AC,82
2022-01-03,A35-AC,-5
2022-01-03,DTC-23,197
2022-01-03,DTC-23,-5
2022-01-04,DBR-56,-13
2022-01-04,A35-AC,-7
2022-01-04,DTC-23,-11
2022-01-05,DBR-56,-27
2022-01-05,A35-AC,-2
2022-01-05,DTC-23,-5
2022-01-06,DBR-56,-24
2022-01-06,A35-AC,-7
2022-01-06,DTC-23,-9
2022-01-07,DBR-56,-23
2022-01-07,A35-AC,-4
2022-01-07,DTC-23,-12
2022-01-10,DBR-56,-12
2022-01-10,A35-AC,-3
2022-01-10,DTC-23,-5
2022-01-11,DBR-56,-30
2022-01-11,A35-AC,-4
2022-01-11,DTC-23,-16
2022-01-12,DBR-56,-12
2022-01-12,A35-AC,-4
2022-01-12,DTC-23,-12
2022-01-13,DBR-56,-11
2022-01-13,A35-AC,-2
2022-01-13,DTC-23,-12
2022-01-14,DBR-56,-15
2022-01-14,A35-AC,-6
2022-01-14,DTC-23,-7
2022-01-17,DBR-56,-19
2022-01-17,A35-AC,-4
2022-01-17,DTC-23,-10
2022-01-18,DBR-56,-27
2022-01-18,A35-AC,-6
2022-01-18,DTC-23,-5
2022-01-19,DBR-56,-18
2022-01-19,A35-AC,-7
2022-01-19,DTC-23,-5
2022-01-20,DBR-56,-24
2022-01-20,A35-AC,-5
2022-01-20,DTC-23,-9
2022-01-21,DBR-56,-29
2022-01-21,A35-AC,-4
2022-01-21,DTC-23,-14
2022-01-24,DBR-56,-25
2022-01-24,A35-AC,-4
2022-01-24,DTC-23,-6
2022-01-25,DBR-56,-18
2022-01-25,A35-AC,-5
2022-01-25,DTC-23,-13
2022-01-26,DBR-56,0
2022-01-26,A35-AC,-3
2022-01-26,DTC-23,-12
2022-01-27,DBR-56,0
2022-01-27,A35-AC,0
2022-01-27,DTC-23,-6
2022-01-28,DBR-56,0
2022-01-28,A35-AC,0
2022-01-28,DTC-23,-7
2022-01-31,DBR-56,0
2022-01-31,A35-AC,0
2022-01-31,DTC-23,-10
2022-02-01,DBR-56,371
2022-02-01,DBR-56,-27
2022-02-01,A35-AC,79
2022-02-01,A35-AC,-7
2022-02-01,DTC-23,283
2022-02-01,DTC-23,-14
2022-02-02,DBR-56,-26
2022-02-02,A35-AC,-2
2022-02-02,DTC-23,-7
2022-02-03,DBR-56,-13
2022-02-03,A35-AC,-4
2022-02-03,DTC-23,-10
2022-02-04,DBR-56,-21
2022-02-04,A35-AC,-6
2022-02-04,DTC-23,-15
2022-02-07,DBR-56,-21
2022-02-07,A35-AC,-6
2022-02-07,DTC-23,-8
2022-02-08,DBR-56,-15
2022-02-08,A35-AC,-5
2022-02-08,DTC-23,-6
2022-02-09,DBR-56,-25
2022-02-09,A35-AC,-3
2022-02-09,DTC-23,-9
2022-02-10,DBR-56,-28
2022-02-10,A35-AC,-4
2022-02-10,DTC-23,-8
2022-02-11,DBR-56,-29
2022-02-11,A35-AC,-4
2022-02-11,DTC-23,-8
2022-02-14,DBR-56,-11
2022-02-14,A35-AC,-3
