invoice_date,customer,amount
24. 07. 2021,Robbins-Bryant,42424.49
03. 06. 2021,"Little, Espinoza and Manning",6269.53
24. 06. 2021,Hartman-Garcia,19182.55
09. 08. 2021,"Mason, Armstrong and Whitaker",66295.23
29. 06. 2021,Dickerson-Blankenship,88592.58
05. 05. 2021,Ramirez LLC,81329.86
27. 06. 2021,Kennedy Inc,66122.2
16. 07. 2021,Weber Group,45901.82
13. 07. 2021,Solis-Valdez,72003.34
02. 06. 2021,"Howard, Smith and Lewis",84685.17
28. 07. 2021,"Mcdonald, Garner and Mckee",26026.5
09. 07. 2021,"Dodson, Hernandez and Kim",70162.43
28. 07. 2021,King PLC,59819.57
23. 08. 2021,Schwartz and Sons,21913.67
15. 05. 2021,Jackson Ltd,76045.67
18. 06. 2021,"Johnson, Williams and Beck",66634.99
05. 08. 2021,"Lewis, Hall and Taylor",58431.53
01. 07. 2021,Lara LLC,87627.59
03. 05. 2021,Flynn Inc,97414.38
04. 08. 2021,Moore Group,82248.87
19. 08. 2021,"Bartlett, Phillips and Cox",24107.24
22. 05. 2021,Chavez PLC,28092.96
12. 06. 2021,"Allen, Osborn and Flores",72136.48
02. 05. 2021,Evans Group,98409.41
03. 05. 2021,"Wells, Sweeney and Harris",66223.16
03. 08. 2021,"Smith, Smith and Walker",4743.54
30. 06. 2021,Sanchez PLC,9433.66
22. 07. 2021,Martinez-Lloyd,30231.22
11. 08. 2021,Gardner-Mason,52517.19
20. 07. 2021,"Andrews, Schultz and Jackson",21542.75
01. 07. 2021,King Inc,66341.68
16. 07. 2021,Sheppard-Tucker,94979.74
08. 07. 2021,Clark-Cox,10342.65
15. 07. 2021,Horn Group,63442.16
09. 08. 2021,"Beck, Moore and Snyder",98354.07
04. 08. 2021,Winters and Sons,9344.19
09. 06. 2021,Perez Group,39893.65
22. 06. 2021,"Cooke, Johnson and Stone",6710.21
02. 05. 2021,Miller PLC,40788.17
08. 06. 2021,Harris-Dickson,68072.13
16. 06. 2021,Rodriguez LLC,78668.25
23. 07. 2021,Mann-Dunlap,8077.0
17. 07. 2021,Hernandez Inc,91985.84
05. 06. 2021,Ramirez PLC,74019.59
04. 08. 2021,Shepard PLC,1352.41
08. 08. 2021,Jones-Orozco,30150.39
10. 07. 2021,Moss Group,19467.41
12. 07. 2021,Stephens Ltd,17921.49
19. 07. 2021,Caldwell Inc,45311.94
29. 06. 2021,Hall Group,31185.33
14. 05. 2021,Herrera-Colon,83719.15
05. 07. 2021,"Brooks, Avila and Jones",23808.71
29. 07. 2021,"Evans, Horne and Warren",29075.25
10. 07. 2021,Spence-Hendricks,34138.2
07. 08. 2021,Green LLC,82789.93
01. 05. 2021,Cole and Sons,26051.16
27. 08. 2021,"Green, Green and Castillo",40517.66
22. 07. 2021,"Foster, Peck and Jackson",47542.74
15. 06. 2021,Reese-Carey,20620.0
12. 08. 2021,"Morris, Yates and Maynard",8985.72
16. 08. 2021,Nguyen-Barnes,93765.02
07. 08. 2021,"Grant, Rivera and Price",49427.08
20. 08. 2021,"Hubbard, Dean and Davis",92312.44
08. 06. 2021,"Long, Lopez and Bright",70621.08
18. 08. 2021,Romero-Garcia,86236.16
10. 06. 2021,Davis-Cooper,684.58
08. 08. 2021,Jones Ltd,3859.88
05. 05. 2021,Gutierrez-Patel,96490.0
05. 06. 2021,"Cruz, Galvan and Hatfield",52987.75
25. 08. 2021,Schmidt PLC,27989.65
07. 05. 2021,"Lowery, Aguilar and Clark",11353.56
05. 08. 2021,King-Glover,64675.88
17. 06. 2021,Underwood PLC,90154.92
19. 06. 2021,"Blake, Moody and Jones",70229.71
07. 05. 2021,"Saunders, Costa and Young",29407.28
15. 08. 2021,Garrett Group,8199.91
15. 05. 2021,Miller-Hanna,80210.3
17. 07. 2021,Simpson-Ball,76809.96
14. 07. 2021,White-Perez,64499.92
07. 07. 2021,"Watkins, Simmons and Hudson",10144.37
22. 07. 2021,Reeves Inc,65194.03
28. 07. 2021,Lawrence Ltd,89012.29
01. 05. 2021,Miller-Parker,85703.51
29. 06. 2021,Cunningham-Rivas,35946.98
10. 07. 2021,Smith-Khan,48589.58
30. 05. 2021,"Dodson, Hernandez and Kim",47658.54
28. 05. 2021,"Peterson, Anderson and Baker",85792.86
05. 06. 2021,Martin and Sons,98923.14
21. 05. 2021,"Orr, Ingram and Jones",93573.63
23. 08. 2021,Brooks Ltd,48253.33
14. 06. 2021,Jones Inc,5923.84
13. 07. 2021,Cox Ltd,76186.23
03. 06. 2021,Jackson-Davis,72803.77
26. 08. 2021,Cortez and Sons,46589.43
25. 06. 2021,Pham-Esparza,99262.47
28. 06. 2021,"Garcia, Hamilton and Carr",72189.98
11. 06. 2021,"Miller, Sparks and Vasquez",2307.95
05. 07. 2021,"Barber, Johnson and Harris",24302.29
07. 08. 2021,Navarro Inc,2183.35
03. 08. 2021,Ramirez-Hernandez,97766.79
17. 08. 2021,Jackson-Cole,74882.36
23. 08. 2021,"Smith, Weaver and Aguilar",72177.34
05. 05. 2021,"Chandler, Ramirez and Davis",19089.67
12. 08. 2021,Green-Richards,75044.24
06. 06. 2021,Banks LLC,95278.0
02. 05. 2021,Gallegos-Calderon,26929.16
17. 08. 2021,Sherman Group,25545.59
14. 08. 2021,"Mendoza, Flores and Daniel",51835.58
02. 08. 2021,"Morris, Cardenas and Zuniga",42274.93
14. 07. 2021,Sanchez-Klein,30628.02
19. 05. 2021,Collins Ltd,84101.38
04. 06. 2021,Jordan Inc,83615.96
13. 06. 2021,Buchanan and Sons,87392.37
22. 05. 2021,"Morse, Johnson and Crane",73450.04
07. 06. 2021,Smith-Goodman,90226.76
30. 05. 2021,"Jordan, Rowland and Mccoy",10376.27
18. 06. 2021,Daniel-Cardenas,16321.35
14. 05. 2021,Johnson-Diaz,93813.52
08. 08. 2021,"Cervantes, Gonzalez and Howard",53537.18
27. 05. 2021,"Bradley, Harris and Garcia",38194.79
20. 08. 2021,"Knight, Morgan and Hawkins",87288.6
10. 08. 2021,Nguyen LLC,70209.38
23. 05. 2021,Jensen PLC,47049.26
03. 08. 2021,Rivas Ltd,34306.49
01. 06. 2021,Jackson-Mahoney,72952.25
04. 05. 2021,Sexton-Gilmore,94356.28
08. 05. 2021,Hays-Mcdaniel,66866.21
08. 08. 2021,Smith LLC,40084.06
18. 05. 2021,Williams LLC,22368.38
14. 05. 2021,Valenzuela Group,22282.41
29. 05. 2021,Torres-Hall,87458.54
05. 08. 2021,"Gill, Rodriguez and Monroe",38585.01
18. 05. 2021,Davis Inc,38188.79
03. 05. 2021,Cooper Inc,3611.38
29. 05. 2021,Allen and Sons,47145.64
21. 07. 2021,Smith-Diaz,98683.23
03. 06. 2021,Cruz-Rivera,20167.79
02. 07. 2021,"Gross, Fields and Lester",63548.26
04. 06. 2021,Glass-Smith,80785.19
30. 07. 2021,"Hinton, Phillips and Roy",46098.4
24. 06. 2021,Gonzalez Inc,14421.84
