event_type,event_date_time
signal lost,2021-02-03 00:40:08
signal restored,2021-02-03 01:14:11
signal lost,2021-02-05 19:14:19
signal restored,2021-02-05 19:46:29
signal lost,2021-02-06 14:31:34
signal restored,2021-02-06 14:48:24
signal lost,2021-02-08 04:59:20
signal restored,2021-02-08 05:38:29
signal lost,2021-02-09 14:21:25
signal restored,2021-02-09 14:42:22
signal lost,2021-02-09 20:07:49
signal restored,2021-02-09 20:31:30
signal lost,2021-02-12 03:49:42
signal restored,2021-02-12 04:26:48
signal lost,2021-02-12 16:53:17
signal restored,2021-02-12 17:18:18
signal lost,2021-02-13 21:15:48
signal restored,2021-02-13 21:31:22
signal lost,2021-02-15 07:19:44
signal restored,2021-02-15 08:10:17
signal lost,2021-02-16 09:24:59
signal restored,2021-02-16 09:38:25
signal lost,2021-02-18 01:48:55
signal restored,2021-02-18 02:36:30
signal lost,2021-02-19 21:36:04
signal restored,2021-02-19 21:48:37
signal lost,2021-02-22 09:58:49
signal restored,2021-02-22 10:58:35
